Country,Price 1 month ago (USD/L),Current price (USD/L),Change (%)
Australia,1.08,1.47,35.6
Vietnam,0.75,0.99,31.8
USA,0.86,1.08,25.6
Philippines,0.96,1.2,25.0
Singapore,2.17,2.58,18.9
Canada,1.17,1.36,16.5
Spain,1.73,2.01,16.0
Sweden,1.75,1.99,14.0
Estonia,1.77,2.01,13.8
Austria,1.77,2.01,13.8
Argentina,1.19,1.34,13.0
Luxembourg,1.74,1.96,12.7
Germany,2.08,2.34,12.3
Belgium,1.8,2.01,11.5
Denmark,2.34,2.6,11.3
China,1.08,1.19,10.1
South Korea,1.33,1.45,8.9
Poland,1.61,1.74,7.8
Latvia,1.8,1.94,7.7
Greece,2.07,2.22,7.4
Italy,1.96,2.11,7.4
Turkey,1.31,1.4,7.2
France,2.01,2.15,7.1
Portugal,2.0,2.13,6.6
UAE,0.64,0.68,6.4
Norway,2.29,2.43,6.3
Taiwan,0.9,0.95,5.9
Hong Kong,3.75,3.97,5.8
Lithuania,1.73,1.82,5.5
Czech Republic,1.64,1.71,4.5
Netherlands,2.42,2.53,4.4
Malaysia,0.65,0.68,4.3
Switzerland,2.18,2.27,4.2
UK,1.81,1.87,3.3
Iceland,1.67,1.71,2.6
Indonesia,0.72,0.73,1.9
Finland,2.16,2.18,1.1
Israel,2.33,2.35,0.9
Costa Rica,1.35,1.36,0.8
Chile,1.33,1.34,0.4
Slovenia,1.69,1.69,0.2
Saudi Arabia,0.62,0.62,0.0
Hungary,1.76,1.76,-0.2
Brazil,1.21,1.2,-0.9
Japan,1.01,1.0,-1.3
New Zealand,1.61,1.59,-1.5
India,1.12,1.1,-1.6
Slovakia,1.75,1.72,-1.9
Ireland,2.07,2.02,-2.6
Thailand,1.33,1.29,-3.0
Colombia,1.11,1.08,-3.1
Mexico,1.5,1.45,-3.3
South Africa,1.24,1.19,-3.9
