Date,Caltex,Esso,Shell,Sinopec,SPC
2025-09-21,2.88,2.88,2.88,2.88,2.87
2025-09-22,2.88,2.88,2.88,2.88,2.87
2025-10-16,2.88,2.88,2.88,2.88,2.87
2025-10-17,2.88,2.88,2.88,2.88,2.87
2025-10-18,2.88,2.88,2.88,2.88,2.87
2025-10-26,2.88,2.88,2.88,2.88,2.87
2025-10-30,2.88,2.88,2.88,2.88,2.87
2025-10-31,2.88,2.88,2.88,2.88,2.87
2025-11-07,2.88,2.88,2.88,2.88,2.87
2025-11-10,2.88,2.88,2.88,2.88,2.87
2025-11-12,2.88,2.88,2.88,2.88,2.87
2025-11-14,2.88,2.88,2.88,2.88,2.87
2025-11-23,2.88,2.88,2.88,2.88,2.87
2025-11-26,2.88,2.88,2.88,2.88,2.87
2025-11-27,2.88,2.88,2.88,2.88,2.87
2025-11-28,2.88,2.88,2.88,2.88,2.87
2025-12-07,2.88,2.88,2.88,2.88,2.87
2025-12-21,2.88,2.88,2.88,2.88,2.87
2026-01-04,2.88,2.88,2.88,2.88,2.87
2026-01-05,2.88,2.88,2.88,2.88,2.87
2026-01-18,2.88,2.88,2.88,2.88,2.87
2026-01-23,2.88,2.88,2.88,2.88,2.87
2026-02-01,2.88,2.88,2.88,2.88,2.87
2026-02-15,2.88,2.88,2.88,2.88,2.87
2026-02-23,2.88,2.88,2.88,2.88,2.87
2026-03-04,2.92,2.92,2.92,2.92,2.91
2026-03-05,2.97,2.97,2.97,2.92,2.91
2026-03-06,3.05,3.05,3.02,2.97,3.04
2026-03-07,3.05,3.05,3.02,3.05,3.04
2026-03-09,3.15,3.15,3.15,3.05,3.14
2026-03-10,3.35,3.31,3.31,3.05,3.14
2026-03-11,3.35,3.35,3.35,3.31,3.3
2026-03-12,3.35,3.35,3.35,3.35,3.3
2026-03-13,3.45,3.4,3.4,3.4,3.39
2026-03-16,3.47,3.47,3.47,3.4,3.39
2026-03-17,3.47,3.47,3.47,3.47,3.39
2026-03-18,3.47,3.47,3.47,3.47,3.46
2026-03-20,3.47,3.47,3.47,3.47,3.46
